rank,name,team,points,born,nation,height,weight,skis,boots,poles
1,Johan Hoel,Team Ragde Charge,2066,17.12.1994,NOR,,,,,
2,Kasper Stadaas,Team Ragde Charge,1947,21.02.1994,NOR,,,,,
3,Andreas Nygaard,Team Ragde Charge,1594,22.11.1990,NOR,193 cm,90 kg,Fischer,Fischer,Swix
4,Thomas Ødegaarden,Team Eksjöhus,1580,14.12.1998,NOR,,,,,
5,Max Novak,Team Aker Dæhlie,1505,01.02.1996,SWE,186 cm,76 kg,Fischer,Alpina,Leki
6,Axel Jutterström,Team Eksjöhus,1464,14.11.1998,SWE,,,,,
7,Eirik Sverdrup Augdal,Team Eksjöhus,1401,20.07.1995,NOR,,,,,
8,Runar Skaug Mathisen,Lager 157 Ski Team,1397,13.03.1993,NOR,193 cm,93 kg,Fischer,Alpina,Leki
9,Morten Eide Pedersen,Team Eksjöhus,1297,18.12.1987,NOR,179 cm,73 kg,Fischer,Fischer,
10,Amund Riege,Team Ramudden,1241,21.10.2000,NOR,,,,,
11,Torleif Syrstad,Lager 157 Ski Team,1198,11.04.1994,NOR,,,,,
12,Oskar Kardin,Lager 157 Ski Team,1128,13.01.1992,SWE,,,,,
13,Thomas Bing,eD system Silvini Team,1093,03.04.1990,GER,,,,,
14,Petter Stakston,Team Aker Dæhlie,1073,11.03.1997,NOR,,,,,
15,Johan Tjelle,Team Engcon,998,20.05.1994,NOR,,,,,
16,Ole Jørgen Bruvoll,Team Engcon,950,07.04.1995,NOR,,,,,
17,Emil Persson,Lager 157 Ski Team,942,05.04.1995,SWE,185 cm,80 kg,Fischer,Fischer,Kv+
18,Johannes Eklöf,Team Ramudden,884,30.04.1995,SWE,,,,,
19,Alvar Myhlback,Lager 157 Ski Team,877,22.03.2006,SWE,,,,,
20,Magnus Vesterheim,Team Kaffebryggeriet,782,20.12.1994,NOR,185 cm,78 kg,Atomic,Atomic,KV+
21,Alfred Buskqvist,Team Ramudden,737,21.05.1996,SWE,,,,,
22,Karstein Johaug,Team Ragde Charge,706,14.06.1992,NOR,,,,,
23,Stian Hoelgaard,Team Aker Dæhlie,703,25.09.1991,NOR,,,,,
24,Eddie Edström,Team Engcon,678,24.07.1995,SWE,,,,,
25,Herman Paus,Team Ramudden,660,21.08.2000,NOR,180 cm,70 kg,Fischer,Fischer,One Way
26,Gustav Eriksson,Team Robinson Trentino,657,22.08.1991,SWE,,,,,
27,Einar Kalland-Olsen,Exsitec Ski Team,639,24.12.1994,NOR,,,,,
28,Simen Ramstad,Team Kaffebryggeriet,614,26.08.1996,NOR,,,,,
29,Jeremy Royer,Team Nordic Expérience,614,09.02.1999,FRA,,,,,
30,Amund Hoel,Team Engcon,610,17.07.1997,NOR,,,,,
31,Juuso Mäkelä,Team Kaski-Ekovilla,580,21.03.1994,FIN,,,,,
32,Joar Thele,Team Janteloppet,562,07.07.1993,NOR,,,,,
33,Haakon Holden,Team Næringsbanken Stora Enso,518,30.05.1993,NOR,,,,,
34,Fabián Štoček,Vltava Fund Ski Team,502,19.05.1994,CZE,,,,,
35,Fredrik Helgestad,Team Kaffebryggeriet,491,20.04.1997,NOR,,,,,
36,Torgeir Sulen Hovland,Team Ragde Charge,488,03.01.1995,NOR,193 cm,88 kg,Fischer,Fischer,One Way
37,Lorenzo Busin,Team Internorm Alpenplus Trentino,474,05.12.1996,ITA,,,,,
38,Nils Dahlsten,Lager 157 Ski Team,463,09.08.1993,SWE,,,,,
39,Thomas Bucher-Johannessen,Team Aker Dæhlie,446,03.02.1997,NOR,,,,,
40,Henrik Arntzen Joks,Team Næringsbanken Stora Enso,428,24.03.1999,NOR,174 cm,71 kg,Fischer,Alpina,Swix
41,Francesco Ferrari,Team Internorm Alpenplus Trentino,400,31.05.1994,ITA,,,,,
42,Gabriel Strid,Exsitec Ski Team,396,20.09.1997,SWE,,,Madshus,alpina,Leki
43,Henning Lie,Team Synnfjell,395,24.09.1990,NOR,180 cm,77 kg,Fischer,fischer,kv+
44,Dietmar Nöckler,Team Robinson Trentino,386,29.09.1988,ITA,,,,,
45,Vebjørn Moen,Team Eksjöhus,369,12.05.1998,NOR,,,,,
46,Isac Holmström,Team Edux,368,24.05.1995,FIN,184 cm,82 kg,,,Exel
47,Patrick Fossum Kristoffersen,Team Robinson Trentino,361,21.08.1998,NOR,,,,,
48,Elias Andersson,Ski Team Göhlins,361,24.10.1999,SWE,,,,,
49,Marcus Johansson,Lager 157 Ski Team,359,21.03.1990,SWE,,,,,
50,Henrik Haugland Syverinsen,Team Kaffebryggeriet,355,26.10.1996,NOR,,,,,
51,Klas Nilsson,Exsitec Ski Team,353,09.01.1986,SWE,183 cm,75 kg,AtomiC ,ALPina,Leki
52,Anton Elvseth,Team Engcon,345,22.10.1998,SWE,,,,,
53,Filip Rosjö,Ski Team Göhlins,335,22.11.2000,SWE,169 cm,103 kg,Kästle,madshus,skigo
