rank,name,team,points
1,Johan Hoel,Team Ragde Charge,2066
2,Kasper Stadaas,Team Ragde Charge,1947
3,Andreas Nygaard,Team Ragde Charge,1594
4,Thomas Ødegaarden,Team Eksjöhus,1580
5,Max Novak,Team Aker Dæhlie,1505
6,Axel Jutterström,Team Eksjöhus,1464
7,Eirik Sverdrup Augdal,Team Eksjöhus,1401
8,Runar Skaug Mathisen,Lager 157 Ski Team,1397
9,Morten Eide Pedersen,Team Eksjöhus,1297
10,Amund Riege,Team Ramudden,1241
11,Torleif Syrstad,Lager 157 Ski Team,1198
12,Oskar Kardin,Lager 157 Ski Team,1128
13,Thomas Bing,eD system Silvini Team,1093
14,Petter Stakston,Team Aker Dæhlie,1073
15,Johan Tjelle,Team Engcon,998
16,Ole Jørgen Bruvoll,Team Engcon,950
17,Emil Persson,Lager 157 Ski Team,942
18,Johannes Eklöf,Team Ramudden,884
19,Alvar Myhlback,Lager 157 Ski Team,877
20,Magnus Vesterheim,Team Kaffebryggeriet,782
21,Alfred Buskqvist,Team Ramudden,737
22,Karstein Johaug,Team Ragde Charge,706
23,Stian Hoelgaard,Team Aker Dæhlie,703
24,Eddie Edström,Team Engcon,678
25,Herman Paus,Team Ramudden,660
26,Gustav Eriksson,Team Robinson Trentino,657
27,Einar Kalland-Olsen,Exsitec Ski Team,639
28,Simen Ramstad,Team Kaffebryggeriet,614
29,Jeremy Royer,Team Nordic Expérience,614
30,Amund Hoel,Team Engcon,610
31,Juuso Mäkelä,Team Kaski-Ekovilla,580
32,Joar Thele,Team Janteloppet,562
33,Haakon Holden,Team Næringsbanken Stora Enso,518
34,Fabián Štoček,Vltava Fund Ski Team,502
35,Fredrik Helgestad,Team Kaffebryggeriet,491
36,Torgeir Sulen Hovland,Team Ragde Charge,488
37,Lorenzo Busin,Team Internorm Alpenplus Trentino,474
38,Nils Dahlsten,Lager 157 Ski Team,463
39,Thomas Bucher-Johannessen,Team Aker Dæhlie,446
40,Henrik Arntzen Joks,Team Næringsbanken Stora Enso,428
41,Francesco Ferrari,Team Internorm Alpenplus Trentino,400
42,Gabriel Strid,Exsitec Ski Team,396
43,Henning Lie,Team Synnfjell,395
44,Dietmar Nöckler,Team Robinson Trentino,386
45,Vebjørn Moen,Team Eksjöhus,369
46,Isac Holmström,Team Edux,368
47,Patrick Fossum Kristoffersen,Team Robinson Trentino,361
48,Elias Andersson,Ski Team Göhlins,361
49,Marcus Johansson,Lager 157 Ski Team,359
50,Henrik Haugland Syverinsen,Team Kaffebryggeriet,355
51,Klas Nilsson,Exsitec Ski Team,353
52,Anton Elvseth,Team Engcon,345
53,Filip Rosjö,Ski Team Göhlins,335
54,Thomas Gifstad,Team Robinson Trentino,322
55,Thomas Joly,Team Næringsbanken Stora Enso,319
56,Václav Sedláček,eD system Silvini Team,312
57,Hans Petter Rolke,Team Front Rustad IL,297
58,Iver Tildheim Andersen,Team Front Rustad IL,295
