rank,name,team,points,born,nation,height,weight,skis,boots,poles
1,Emilie Fleten,Team Ramudden,2565,09.06.1992,NOR,,,,,
2,Kati Roivas,Team Eksjöhus,2063,09.09.1994,FIN,,,,,
3,Magni Smedås,Team Eksjöhus,1794,17.06.1995,NOR,,,,,
4,Sofie Elebro Lind,Team Eksjöhus,1613,22.01.1993,SWE,167 cm,,Fischer ,Fischer,Swix 
5,Karolina Hedenström,Lager 157 Ski Team,1598,03.11.2000,SWE,172 cm,68 kg,Fischer,fischer,kvplus
6,Hanna Lodin,Team Engcon,1437,03.07.1999,SWE,,,,,
7,Anikken Gjerde Alnes,Team Ragde Charge,1365,11.04.1994,NOR,,,,,
8,Ida Dahl,Team Engcon,1300,17.01.1996,SWE,,,Salomon,salomon,Leki
9,Julie Kvale Støstad,Team Næringsbanken Stora Enso,1243,10.07.1998,NOR,,,,,
10,Silje Øyre Slind,Team Aker Dæhlie,1005,09.02.1988,NOR,,,,,
11,Jenny Larsson,Team Ragde Charge,906,18.01.1996,SWE,,,,,
12,Marie Renée Sørum Gangsø,Team Næringsbanken Stora Enso,886,05.02.1994,NOR,,,,,
13,Guro Jordheim,Team Aker Dæhlie,867,01.11.1996,NOR,,,,,
14,Masako Ishida,TEAM BSV IBEX,864,05.11.1980,JPN,,,,,
15,Linnea Johansson,Lager 157 Ski Team,838,21.07.2001,SWE,,,,,
16,Hanna Sandholt Hansen,Team NTNUI Sweco,816,09.01.2001,NOR,,,,,
17,Oda Nerdrum,Team Kaffebryggeriet,809,27.06.1995,NOR,,,,,
18,Hedda Bångman,Vltava Fund Ski Team,691,28.04.1995,SWE,,,,,
19,Karolína Grohová,eD system Silvini Team,680,21.11.1990,CZE,,,,,
20,Oona Kettunen,Team Kaski-Ekovilla,678,10.02.1994,FIN,,,,,
21,Julia Angelsiöö,Team Næringsbanken Stora Enso,677,06.04.1996,SWE,,,,,
22,Tove Ericsson,Team Engcon,658,05.03.2003,SWE,,,,,
23,Frida Erkers,Team Eksjöhus,638,05.01.1992,SWE,,,,,
24,Tereza Hujerová,Team Robinson Trentino,632,22.05.1998,CZE,168 cm,,,,EXEL
25,Laurie Flochon Joly,Team Nordic Expérience,626,21.05.1997,FRA,,,,,
26,Sofia Lindberg,Team Edux,606,30.03.1992,SWE,,,,,
27,Michaela Patscheider,Team Robinson Trentino,566,12.06.1999,ITA,,,,,
28,Sandra Schützová,Vltava Fund Ski Team,565,21.10.1991,CZE,,,,,
29,Emma Ivarsson,Exsitec Ski Team,517,01.09.1993,SWE,,,,,
30,Léonie Harivel,Team Nordic Expérience,481,17.03.2000,FRA,,,,,
31,Camilla Brørs,Team NTNUI Sweco,479,26.11.2003,NOR,,,,,
32,Ida Palmberg,Team Ramudden,458,06.02.1999,SWE,,,,,
33,Hanna Fine,Team Vercors Isère,440,05.02.2000,FRA,,,,,
34,Heli Heiskanen,Team Internorm Alpenplus Trentino,437,31.03.1981,FIN,,,,,
35,Astrid Øyre Slind,Team Aker Dæhlie,420,09.02.1988,NOR,,,,,
36,Karoline Næss,Team Front Rustad IL,414,07.07.1994,NOR,,,,,
37,Maren Engeskaug Nielsen,Team Janteloppet,391,02.06.1995,NOR,,,,,
38,Katri Lylynperä,Team Kaski-Ekovilla,391,03.01.1994,FIN,,,,,
39,Hanne Skulbru,Team Front Rustad IL,372,15.01.1996,NOR,,,,,
40,Ingeborg Kristensen Hoftun,Team NTNUI Sweco,369,22.01.2001,NOR,,,,,
41,Amanda Nyfors,Team Mäenpää,364,12.05.2000,FIN,,,,,
42,Merilin Jürisaar,Team Nordic Expérience,360,02.12.2000,EST,,,,,
43,Laura Stichling,eD system Silvini Team,360,10.06.1995,GER,168 cm,60 kg,Fischer,Fischer,Swix
44,Emma Jönsson,Team Ramudden,343,03.07.2000,SWE,,,,,
45,Franziska Müller,TEAM BSV IBEX,323,01.08.1995,GER,,,,,
46,Karen Amalie Nordseth,Team Synnfjell,313,11.08.2000,NOR,,,,,
47,Maiken Min Midtskogen,Bruse Sauerland Ski Team,300,26.05.1998,NOR,,,,,
48,Frida Hallquist,Exsitec Ski Team,299,04.12.1990,SWE,,,,,
49,Solene Faivre,i3 Ski Team,293,10.10.2000,SUI,,,,,
50,Karen Marie Håkonsen,YC Rør Sjusjøen Ski Team,284,03.08.1999,NOR,179 cm,,Fischer  ,Fischer ,Swix
51,Fanny Endresen,Team Janteloppet,281,24.06.1993,NOR,,,,,
52,Fanny Kukonlehto,Team Kaski-Ekovilla,263,02.08.2003,FIN,,,,,
53,Thea Snortheimsmoen,YC Rør Sjusjøen Ski Team,238,06.07.2001,NOR,,,,,
54,Anna Jönsson Haag,Team Kaffebryggeriet,236,01.06.1986,SWE,,,,,
55,Anna Schmidhofer,Team Internorm Alpenplus Trentino,221,26.09.1998,AUT,,,,,
56,Anna-Marie Hejná,eD system Silvini Team,218,26.09.1999,CZE,,,,,
57,Niina Virtanen,Danish Ski Maraton Team,217,22.04.1991,FIN,,,,,
58,Amalie Ous,Team Aker Dæhlie,215,23.04.1996,NOR,,,,,
59,Katerina Paul,TEAM BSV IBEX,208,16.05.1996,AUS,173 cm,63 kg,fischer,Fischer,ExeL
60,Capucine Richon,i3 Ski Team,198,24.09.2002,FRA,,,,,
61,Solveig Lie Støverud,Team Ragde Charge,183,15.01.2004,NOR,,,,,
62,Teesi Tuul,Team Fikala Evecon,174,31.08.1999,EST,,,,,
63,Madelene Melin,Team Futura Trentino GTE Elettrica,171,18.01.1998,SWE,,,,,
64,Wilma Jönsson,Team Ramudden,170,05.11.1997,SWE,,,,,
65,Petra Hynčicová,eD system Silvini Team,165,01.05.1994,CZE,,,,,
66,Isabella Vianello,Team Futura Trentino GTE Elettrica,158,22.03.1994,ITA,,,,,
67,Eerika Konu,Team Kaski-Ekovilla,156,31.01.2001,FIN,,,,,
68,Karolína Bícová,Vltava Fund Ski Team,155,30.12.1978,CZE,,,,,
69,Anna Lindgren,Bruse Sauerland Ski Team,142,28.10.1988,SWE,,,,,
70,Sophia Velicer,Vltava Fund Ski Team,118,09.03.1999,,,,,,
71,Suzette Christin,i3 Ski Team,109,20.04.2004,FRA,,,,,
72,Kateřina Janatová,eD system Silvini Team,108,13.03.1997,CZE,,,,,
73,Nicole Donzallaz,Team Internorm Alpenplus Trentino,104,22.02.1981,SUI,172 cm,57 kg,Rossignol,Rossignol,Swix
74,Luisa Griessbaum,Ski-Willy Marathon Team Austria,102,01.08.1997,GER,,,,,
75,Kätlin Kukk,Team Fikala Evecon,101,28.05.2003,EST,,,,,
76,Elisabeth Schicho,xc-ski.de A|N Skimarathon Team,95,10.05.1991,GER,,,,,
77,Chiara Caminada,Team Robinson Trentino,91,28.05.1985,ITA,,,,,
78,Vilma Kanerva,Team Mäenpää,89,02.05.2002,FIN,,,,,
79,Anna Dyvik,Team Robinson Trentino,80,31.12.1994,SWE,,,,,
80,Anni Huovinen,Team Mäenpää,80,11.04.2000,FIN,,,,,
81,Jenny Ramstedt,Bruse Sauerland Ski Team,80,18.04.1974,SWE,165 cm,57 kg,,,
82,Michelle Hasle,Team Næringsbanken Stora Enso,79,22.09.1996,NOR,,,,,
83,Hilda Löf,Ski Team Göhlins,76,06.10.2000,SWE,,,,,
84,Gina Flugstad Øistuen,Slavia Pojistovna Prestasjonsboost Team,75,12.03.1997,NOR,,,,,
85,Karin Weltert,xc-ski.de A|N Skimarathon Team,68,23.04.1976,SUI,,,,,
86,Ingrid Hannestad,Team Janteloppet,62,02.02.1993,NOR,,,,,
87,Siiri Kaijansinkko,Team Edux,60,29.08.2001,FIN,,,,,
88,Marlies Nipius,xc-ski.de A|N Skimarathon Team,51,25.10.1982,NED,,,,,
89,Saga Nilsson,Exsitec Ski Team,50,30.01.2002,SWE,,,,,
90,Laura Groiss,Ski-Willy Marathon Team Austria,50,10.12.2001,AUT,,,,,
91,Thea Schwingshackl,Team Futura Trentino GTE Elettrica,49,31.01.1999,ITA,,,,,
92,Oceane Bepoix,i3 Ski Team,49,30.06.1999,FRA,,,,,
92,Moa Hansson,Ski Team Göhlins,49,24.05.2001,SWE,,,,,
94,Rosie Brennan,Team Robinson Trentino,48,02.12.1988,USA,,,,,
95,Emilie Bulle,Team Vercors Isère,40,,,,,,,
96,Thais Barthelemy,Team Vercors Isère,39,27.03.2000,FRA,,,,,
97,Alessia De Zolt Ponte,Team Janteloppet,38,10.11.1999,ITA,,,,,
98,Ebba Johansson,Danish Ski Maraton Team,37,14.03.2005,SWE,,,,,
99,Anna Sixtová,Slavia Pojišťovna Sport Team,33,29.05.1996,CZE,,,,,
100,Margaux Gaillard,Team Vercors Isère,32,01.02.2002,FRA,,,,,
101,Kristrun Gudnadottir,Slavia Pojistovna Prestasjonsboost Team,25,13.10.1997,ISL,,,,,
102,Victoria Nitteberg,Team Futura Trentino GTE Elettrica,22,30.07.2003,NOR,,,,,
103,Chloé Holmqvist Hansson,Danish Ski Maraton Team,17,08.04.1994,SWE,,,,,
104,Anna Giordan,Team Internorm Alpenplus Trentino,7,13.12.1992,ITA,,,,,
104,Sigrun Kleinrath,Ski-Willy Marathon Team Austria,7,16.01.2004,AUT,,,,,
106,Wilma Lax,Team Edux,6,18.04.2004,FIN,,,,,
107,Hana Randáková,Slavia Pojišťovna Sport Team,5,16.05.2005,CZE,,,,,
108,Jessica Wirth,Bruse Sauerland Ski Team,1,21.08.1994,GER,,,,,
108,Eva Močnik,Ski-Willy Marathon Team Austria,1,01.11.2003,SLO,,,,,
108,Jenny Elise Hagen Haakstad,Team Synnfjell,1,03.07.2001,NOR,,,,,
